hex_code,company,line_name,station_name
000000,JR西日本,山陰本線,鸟取
000001,测试,試験,终端测试V2
000002,测试,試験,终端测试 V2-01
000003,测试,試験,终端测试 V2-02
000004,测试,試験,终端测试 V3-01-1
000005,测试,試験,终端测试 V3-01-2
000006,测试,試験,终端测试 V4-01
000007,测试,試験,终端测试 V4-01-A
000101,东日本旅客铁道株式会社,東海道本,东京
000102,东日本旅客铁道株式会社,東海道本,有乐町
000103,东日本旅客铁道株式会社,東海道本,新桥
000104,东日本旅客铁道株式会社,東海道本,滨松町
000106,东日本旅客铁道株式会社,東海道本,田町
000107,东日本旅客铁道株式会社,東海道本,品川
000108,东日本旅客铁道株式会社,東海道本,大井町
000109,东日本旅客铁道株式会社,東海道本,大森
00010b,东日本旅客铁道株式会社,東海道本,蒲田
00010d,東日本旅客鉄道,東海道本,川崎
00010e,东日本旅客铁道株式会社,東海道本,鹤见
000110,东日本旅客铁道株式会社,東海道本,新小康
000111,东日本旅客铁道株式会社,東海道本,东神奈川
000112,东日本旅客铁道株式会社,東海道本,横滨
000114,东日本旅客铁道株式会社,東海道本,保土谷
000115,东日本旅客铁道株式会社,東海道本,东户冢
000116,东日本旅客铁道株式会社,東海道本,户冢
000118,东日本旅客铁道株式会社,東海道本,大船
000119,东日本旅客铁道株式会社,東海道本,藤泽
00011a,东日本旅客铁道株式会社,東海道本,辻堂
00011b,东日本旅客铁道株式会社,東海道本,茅崎
00011d,東日本旅客鉄道,東海道本,平塚
00011e,东日本旅客铁道株式会社,東海道本,大矶
000120,东日本旅客铁道株式会社,東海道本,二宫
000121,东日本旅客铁道株式会社,東海道本,神津
000122,东日本旅客铁道株式会社,東海道本,鸭宫
000123,东日本旅客铁道株式会社,東海道本,小田原
000125,东日本旅客铁道株式会社,東海道本,早川
000126,东日本旅客铁道株式会社,東海道本,睡川
000128,东日本旅客铁道株式会社,東海道本,真鹤
000129,东日本旅客铁道株式会社,東海道本,汤河原
