hex_code,company,line_name,station_name
000000,JR West,山陰本線,Tottori
000001,test,試験,Terminal test V2
000002,test,試験,Terminal test V2-01
000003,test,試験,Terminal test V2-02
000004,test,試験,Terminal test V3-01-1
000005,test,試験,Terminal test V3-01-2
000006,test,試験,Terminal test V4-01
000007,test,試験,Terminal test V4-01-A
000101,East Japan Railway Company,東海道本,Tokyo
000102,East Japan Railway Company,東海道本,Yurakucho
000103,East Japan Railway Company,東海道本,Shinbashi
000104,East Japan Railway Company,東海道本,Hamamatsucho
000106,East Japan Railway Company,東海道本,Tamachi
000107,East Japan Railway Company,東海道本,Shinagawa
000108,East Japan Railway Company,東海道本,Oimachi
000109,East Japan Railway Company,東海道本,Omori
00010b,East Japan Railway Company,東海道本,Kamata
00010d,East Japan Railway Company,東海道本,Kawasaki
00010e,East Japan Railway Company,東海道本,Tsurumi
000110,East Japan Railway Company,東海道本,Shinkoyasu
000111,East Japan Railway Company,東海道本,Higashi Kanagawa
000112,East Japan Railway Company,東海道本,Yokohama
000114,East Japan Railway Company,東海道本,Hodogaya
000115,East Japan Railway Company,東海道本,Higashi-Totsuka
000116,East Japan Railway Company,東海道本,Totsuka
000118,East Japan Railway Company,東海道本,Ofuna
000119,East Japan Railway Company,東海道本,Fujisawa
00011a,East Japan Railway Company,東海道本,Tsujido
00011b,East Japan Railway Company,東海道本,Chigasaki
00011d,East Japan Railway Company,東海道本,Hiratsuka
00011e,East Japan Railway Company,東海道本,Oiso
000120,East Japan Railway Company,東海道本,Ninomiya
000121,East Japan Railway Company,東海道本,Kozu
000122,East Japan Railway Company,東海道本,Kamonomiya
000123,East Japan Railway Company,東海道本,Odawara
000125,East Japan Railway Company,東海道本,Hayakawa
000126,East Japan Railway Company,東海道本,Nebukawa
000128,East Japan Railway Company,東海道本,Manazuru
000129,East Japan Railway Company,東海道本,Yugawara
00012b,East Japan Railway Company,東海道本,Atami
000133,Central Japan Railway Company,東海道本,Kannami
000135,Central Japan Railway Company,東海道本,Mishima
000137,Central Japan Railway Company,東海道本,Numazu
