hex_code,company,line_name,station_name
000000,ＪＲ西日本,山陰本線,鳥取
000001,試験,試験,端末試験用 V2
000002,試験,試験,端末試験用 V2-01
000003,試験,試験,端末試験用 V2-02
000004,試験,試験,端末試験用 V3-01-1
000005,試験,試験,端末試験用 V3-01-2
000006,試験,試験,端末試験用 V4-01
000007,試験,試験,端末試験用 V4-01-A
000101,東日本旅客鉄道,東海道本,東京
000102,東日本旅客鉄道,東海道本,有楽町
000103,東日本旅客鉄道,東海道本,新橋
000104,東日本旅客鉄道,東海道本,浜松町
000106,東日本旅客鉄道,東海道本,田町
000107,東日本旅客鉄道,東海道本,品川
000108,東日本旅客鉄道,東海道本,大井町
000109,東日本旅客鉄道,東海道本,大森
00010b,東日本旅客鉄道,東海道本,蒲田
00010d,東日本旅客鉄道,東海道本,川崎
00010e,東日本旅客鉄道,東海道本,鶴見
000110,東日本旅客鉄道,東海道本,新子安
000111,東日本旅客鉄道,東海道本,東神奈川
000112,東日本旅客鉄道,東海道本,横浜
000114,東日本旅客鉄道,東海道本,保土ヶ谷
000115,東日本旅客鉄道,東海道本,東戸塚
000116,東日本旅客鉄道,東海道本,戸塚
000118,東日本旅客鉄道,東海道本,大船
000119,東日本旅客鉄道,東海道本,藤沢
00011a,東日本旅客鉄道,東海道本,辻堂
00011b,東日本旅客鉄道,東海道本,茅ヶ崎
00011d,東日本旅客鉄道,東海道本,平塚
00011e,東日本旅客鉄道,東海道本,大磯
000120,東日本旅客鉄道,東海道本,二宮
000121,東日本旅客鉄道,東海道本,国府津
000122,東日本旅客鉄道,東海道本,鴨宮
000123,東日本旅客鉄道,東海道本,小田原
000125,東日本旅客鉄道,東海道本,早川
000126,東日本旅客鉄道,東海道本,根府川
000128,東日本旅客鉄道,東海道本,真鶴
000129,東日本旅客鉄道,東海道本,湯河原
00012b,東日本旅客鉄道,東海道本,熱海
000133,東海旅客鉄道,東海道本,函南
000135,東海旅客鉄道,東海道本,三島
000137,東海旅客鉄道,東海道本,沼津
000138,東海旅客鉄道,東海道本,片浜
000139,東海旅客鉄道,東海道本,原
00013b,東海旅客鉄道,東海道本,東田子の浦
00013c,東海旅客鉄道,東海道本,吉原
00013e,東海旅客鉄道,東海道本,富士
000140,東海旅客鉄道,東海道本,富士川
